SampleID	CFL_ID	Site	Sample_type	Soil-tree_type	Treatment	Conservation_time_week	Repetition	Depth	Extraction_date					
GRDI-ECO_PS-CM-202108-DAM2-2_ITS	DAM2-2	Valcartier	Soil	Agricultural mineral	Dry-Dry	2	2	30 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-DAM2-3_ITS	DAM2-3	Valcartier	Soil	Agricultural mineral	Dry-Dry	2	3	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-DAM3-1_ITS	DAM3-1	Valcartier	Soil	Agricultural mineral	Dry-Dry	3	1	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-DAM3-2_ITS	DAM3-2	Valcartier	Soil	Agricultural mineral	Dry-Dry	3	2	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-DAM3-3_ITS	DAM3-3	Valcartier	Soil	Agricultural mineral	Dry-Dry	3	3	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-FAM-1_ITS	FAM-1	Valcartier	Soil	Agricultural mineral	Freeze	Ref-frozen	1	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-FAM-2_ITS	FAM-2	Valcartier	Soil	Agricultural mineral	Freeze	Ref-frozen	2	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-FAM-3_ITS	FAM-3	Valcartier	Soil	Agricultural mineral	Freeze	Ref-frozen	3	30 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-AM-1_ITS	AM-1	Valcartier	Soil	Agricultural mineral	Immediate extraction	Ref-fresh	1	30 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-AM-2_ITS	AM-2	Valcartier	Soil	Agricultural mineral	Immediate extraction	Ref-fresh	2	30 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-AM-3_ITS	AM-3	Valcartier	Soil	Agricultural mineral	Immediate extraction	Ref-fresh	3	30 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-RFM1-1_ITS	RFM1-1	Valcartier	Soil	Forest mineral	RNAlater	1	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM1-2_ITS	RFM1-2	Valcartier	Soil	Forest mineral	RNAlater	1	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM1-3_ITS	RFM1-3	Valcartier	Soil	Forest mineral	RNAlater	1	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM2-1_ITS	RFM2-1	Valcartier	Soil	Forest mineral	RNAlater	2	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM2-2_ITS	RFM2-2	Valcartier	Soil	Forest mineral	RNAlater	2	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM2-3_ITS	RFM2-3	Valcartier	Soil	Forest mineral	RNAlater	2	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM3-1_ITS	RFM3-1	Valcartier	Soil	Forest mineral	RNAlater	3	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM3-2_ITS	RFM3-2	Valcartier	Soil	Forest mineral	RNAlater	3	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-RFM3-3_ITS	RFM3-3	Valcartier	Soil	Forest mineral	RNAlater	3	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-EFM1-1_ITS	EFM1-1	Valcartier	Soil	Forest mineral	Ethanol	1	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-EFM1-2_ITS	EFM1-2	Valcartier	Soil	Forest mineral	Ethanol	1	2	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-EFM1-3_ITS	EFM1-3	Valcartier	Soil	Forest mineral	Ethanol	1	3	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-EFM2-1_ITS	EFM2-1	Valcartier	Soil	Forest mineral	Ethanol	2	1	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-EFM2-2_ITS	EFM2-2	Valcartier	Soil	Forest mineral	Ethanol	2	2	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-EFM2-3_ITS	EFM2-3	Valcartier	Soil	Forest mineral	Ethanol	2	3	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-EFM3-1_ITS	EFM3-1	Valcartier	Soil	Forest mineral	Ethanol	3	1	50 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFM3-2_ITS	EFM3-2	Valcartier	Soil	Forest mineral	Ethanol	3	2	50 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-EFM3-3_ITS	EFM3-3	Valcartier	Soil	Forest mineral	Ethanol	3	3	50 cm	2021-08-17					
GRDI-ECO_PS-CM-202108-LFM1-1_ITS	LFM1-1	Valcartier	Soil	Forest mineral	LifeGuard	1	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM1-2_ITS	LFM1-2	Valcartier	Soil	Forest mineral	LifeGuard	1	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM1-3_ITS	LFM1-3	Valcartier	Soil	Forest mineral	LifeGuard	1	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM2-1_ITS	LFM2-1	Valcartier	Soil	Forest mineral	LifeGuard	2	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM2-2_ITS	LFM2-2	Valcartier	Soil	Forest mineral	LifeGuard	2	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM2-3_ITS	LFM2-3	Valcartier	Soil	Forest mineral	LifeGuard	2	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM3-1_ITS	LFM3-1	Valcartier	Soil	Forest mineral	LifeGuard	3	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM3-2_ITS	LFM3-2	Valcartier	Soil	Forest mineral	LifeGuard	3	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-LFM3-3_ITS	LFM3-3	Valcartier	Soil	Forest mineral	LifeGuard	3	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM1-1_ITS	CFM1-1	Valcartier	Soil	Forest mineral	CD1	1	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM1-2_ITS	CFM1-2	Valcartier	Soil	Forest mineral	CD1	1	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM1-3_ITS	CFM1-3	Valcartier	Soil	Forest mineral	CD1	1	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM2-1_ITS	CFM2-1	Valcartier	Soil	Forest mineral	CD1	2	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM2-2_ITS	CFM2-2	Valcartier	Soil	Forest mineral	CD1	2	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM2-3_ITS	CFM2-3	Valcartier	Soil	Forest mineral	CD1	2	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM3-1_ITS	CFM3-1	Valcartier	Soil	Forest mineral	CD1	3	1	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM3-2_ITS	CFM3-2	Valcartier	Soil	Forest mineral	CD1	3	2	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-CFM3-3_ITS	CFM3-3	Valcartier	Soil	Forest mineral	CD1	3	3	50 cm	2021-08-18					
GRDI-ECO_PS-CM-202108-DFM1-1_ITS	DFM1-1	Valcartier	Soil	Forest mineral	Dry-Dry	1	1	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-DFM1-2_ITS	DFM1-2	Valcartier	Soil	Forest mineral	Dry-Dry	1	2	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-DFM1-3_ITS	DFM1-3	Valcartier	Soil	Forest mineral	Dry-Dry	1	3	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-DFM2-1_ITS	DFM2-1	Valcartier	Soil	Forest mineral	Dry-Dry	2	1	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-DFM2-2_ITS	DFM2-2	Valcartier	Soil	Forest mineral	Dry-Dry	2	2	50 cm	2021-08-19					
GRDI-ECO_PS-CM-202108-DFM2-3_ITS	DFM2-3	Valcartier	Soil	Forest mineral	Dry-Dry	2	3	50 cm	2021-08-19					
